PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TerryRozier,23,6,5,13,3,7,4,5,7,35,40.0,80.0,1,5,1,2,0,4,-6,24,CharlotteHornets
MilesBridges,22,3,6,13,2,5,4,4,4,36,44.4,100.0,1,2,1,1,0,5,-7,19,CharlotteHornets
P.J.Washington,18,7,3,7,4,7,0,0,5,31,50.0,0.0,3,4,1,0,1,1,8,23,CharlotteHornets
GordonHayward,17,2,6,9,1,2,2,2,3,31,63.6,100.0,1,1,2,2,0,1,-14,18,CharlotteHornets
BrandonMiller,14,5,3,9,2,4,2,2,3,36,38.5,100.0,1,4,2,0,2,3,-8,14,CharlotteHornets
MarkWilliams,11,6,4,6,0,0,3,4,0,29,66.7,75.0,2,4,1,0,0,6,-8,13,CharlotteHornets
IshmaelSmith,6,4,3,3,0,0,0,0,5,16,100.0,0.0,1,3,0,0,0,0,3,15,CharlotteHornets
NickRichards,4,3,1,3,0,0,2,2,1,9,33.3,100.0,1,2,0,1,1,1,-3,8,CharlotteHornets
BryceMcGowens,2,1,1,4,0,0,0,0,1,16,25.0,0.0,0,1,0,0,0,1,5,1,CharlotteHornets
CharlotteHornets,117,40,32,67,12,25,17,19,29,240,47.8,0.0,11,29,11,6,4,26,-30,135,CharlotteHornets
Karl-AnthonyTowns,28,7,8,15,4,8,0,0,5,32,52.2,0.0,3,4,3,0,1,3,12,27,MinnesotaTimberwolves
RudyGobert,26,12,10,12,0,0,6,9,0,39,83.3,66.7,2,10,1,0,3,1,10,35,MinnesotaTimberwolves
NazReid,23,5,6,8,3,6,2,2,2,25,64.3,100.0,2,3,2,1,0,0,-7,24,MinnesotaTimberwolves
MikeConley,14,5,2,2,1,7,7,8,10,34,33.3,87.5,0,5,1,0,0,2,10,21,MinnesotaTimberwolves
KyleAnderson,11,6,2,6,0,0,7,7,4,26,33.3,100.0,2,4,2,2,0,3,2,17,MinnesotaTimberwolves
TroyBrown,9,3,0,1,3,6,0,0,1,32,42.9,0.0,1,2,1,1,0,4,15,9,MinnesotaTimberwolves
NickeilAlexander-Walker,6,2,2,3,0,2,2,2,2,30,40.0,100.0,0,2,1,0,0,1,-7,6,MinnesotaTimberwolves
ShakeMilton,6,1,2,6,0,2,2,2,2,23,25.0,100.0,0,1,0,1,0,2,-5,4,MinnesotaTimberwolves
MinnesotaTimberwolves,123,44,32,53,11,31,26,30,26,240,51.2,0.0,12,32,11,5,4,16,30,143,MinnesotaTimberwolves
