PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,41,10,11,16,1,5,16,17,3,31,57.1,94.1,2,8,2,1,1,5,7,44,Philadelphia76ers
TyreseMaxey,27,1,2,8,6,10,5,5,7,35,44.4,100.0,0,1,2,0,0,4,19,23,Philadelphia76ers
PatrickBeverley,11,5,2,4,1,4,4,6,6,29,37.5,66.7,0,5,3,1,1,2,15,14,Philadelphia76ers
TobiasHarris,10,3,1,4,2,3,2,2,2,31,42.9,100.0,0,3,1,0,0,2,-1,10,Philadelphia76ers
MarcusMorris,8,5,1,1,2,2,0,0,1,14,100.0,0.0,0,5,0,0,0,1,26,14,Philadelphia76ers
PaulReed,7,4,3,4,0,0,1,2,2,17,75.0,50.0,2,2,1,0,1,0,2,11,Philadelphia76ers
KellyOubre,7,2,2,5,1,3,0,0,0,26,37.5,0.0,0,2,1,4,0,3,-12,7,Philadelphia76ers
DanuelHouse,6,5,1,3,1,1,1,1,1,18,50.0,100.0,2,3,0,0,0,4,9,10,Philadelphia76ers
NicolasBatum,5,5,1,4,1,3,0,0,3,28,28.6,0.0,2,3,0,2,1,2,0,11,Philadelphia76ers
FurkanKorkmaz,2,0,1,2,0,0,0,1,0,6,50.0,0.0,0,0,0,0,0,0,-10,0,Philadelphia76ers
KenyonMartin,0,1,0,1,0,0,0,0,0,6,0.0,0.0,0,1,0,0,0,1,-10,0,Philadelphia76ers
Philadelphia76ers,124,43,25,52,15,31,29,34,25,240,48.2,0.0,9,34,10,8,4,24,45,144,Philadelphia76ers
JalenGreen,20,5,6,9,1,7,5,7,3,27,43.8,71.4,0,5,2,0,0,2,-7,15,HoustonRockets
AlperenSengun,19,9,6,14,1,1,4,6,6,30,46.7,66.7,5,4,5,1,2,1,-4,22,HoustonRockets
DillonBrooks,18,6,5,6,2,3,2,4,0,31,77.8,50.0,2,4,0,2,0,2,-6,22,HoustonRockets
CamWhitmore,14,6,4,7,2,5,0,1,1,23,50.0,0.0,2,4,0,1,0,3,0,15,HoustonRockets
AmenThompson,14,3,7,7,0,1,0,1,0,19,87.5,0.0,2,1,1,1,0,2,-5,15,HoustonRockets
JabariSmithJr.,13,7,5,8,0,1,3,5,2,31,55.6,60.0,1,6,2,0,0,3,-8,14,HoustonRockets
FredVanVleet,8,1,0,1,2,4,2,4,5,33,40.0,50.0,0,1,1,0,2,4,-12,10,HoustonRockets
JockLandale,4,1,2,2,0,0,0,0,0,9,100.0,0.0,1,0,0,1,3,0,17,9,HoustonRockets
Jae&#039;SeanTate,2,4,1,1,0,3,0,0,2,13,25.0,0.0,1,3,0,0,0,4,5,5,HoustonRockets
JeenathanWilliams,2,1,0,2,0,0,2,2,1,5,0.0,100.0,1,0,1,1,0,1,10,2,HoustonRockets
JeffGreen,1,2,0,4,0,1,1,2,0,13,0.0,50.0,1,1,1,0,2,1,-30,-2,HoustonRockets
AaronHoliday,0,1,0,0,0,1,0,0,1,6,0.0,0.0,0,1,0,0,0,0,-5,1,HoustonRockets
HoustonRockets,115,52,36,61,8,27,19,32,21,240,50.0,0.0,20,32,13,7,9,23,-45,128,HoustonRockets
