PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeramiGrant,26,8,6,16,3,7,5,9,3,44,39.1,55.6,2,6,3,0,1,0,9,17,PortlandTrailBlazers
MalcolmBrogdon,24,7,4,10,2,9,10,12,10,44,31.6,83.3,0,7,4,3,0,1,14,25,PortlandTrailBlazers
ShaedonSharpe,22,5,5,12,2,5,6,7,2,46,41.2,85.7,1,4,3,1,1,2,-1,17,PortlandTrailBlazers
DeandreAyton,16,12,7,11,0,0,2,2,2,36,63.6,100.0,4,8,1,3,1,4,10,29,PortlandTrailBlazers
SkylarMays,9,1,2,3,1,5,2,2,1,15,37.5,100.0,0,1,1,1,0,0,-9,6,PortlandTrailBlazers
RobertWilliams,8,10,3,4,0,0,2,3,0,20,75.0,66.7,4,6,1,2,1,1,-5,18,PortlandTrailBlazers
MatisseThybulle,5,0,1,1,1,3,0,0,0,19,50.0,0.0,0,0,0,0,2,1,-3,5,PortlandTrailBlazers
ToumaniCamara,5,3,2,5,0,3,1,1,1,31,25.0,100.0,3,0,1,2,0,4,2,4,PortlandTrailBlazers
JabariWalker,0,4,0,2,0,0,0,0,0,9,0.0,0.0,1,3,0,0,1,2,-7,3,PortlandTrailBlazers
PortlandTrailBlazers,115,52,30,64,9,32,28,36,19,265,40.6,0.0,16,36,14,12,7,15,10,124,PortlandTrailBlazers
DesmondBane,33,8,10,17,3,9,4,5,7,45,50.0,80.0,1,7,3,4,3,5,11,38,MemphisGrizzlies
JarenJacksonJr.,30,10,6,9,5,8,3,6,3,38,64.7,50.0,2,8,4,1,3,1,3,34,MemphisGrizzlies
DavidRoddy,16,3,8,10,0,4,0,0,0,32,57.1,0.0,1,2,0,0,0,4,-13,13,MemphisGrizzlies
ZiaireWilliams,13,6,4,7,1,1,2,2,3,27,62.5,100.0,0,6,2,1,1,6,-16,19,MemphisGrizzlies
MarcusSmart,8,3,4,7,0,5,0,0,4,40,33.3,0.0,1,2,5,1,0,2,-19,3,MemphisGrizzlies
XavierTillman,6,7,3,6,0,2,0,0,5,24,37.5,0.0,1,6,1,1,2,5,-11,15,MemphisGrizzlies
LukeKennard,5,8,1,3,1,4,0,0,3,27,28.6,0.0,1,7,0,0,0,1,-10,11,MemphisGrizzlies
JohnKonchar,2,1,1,2,0,0,0,0,0,11,50.0,0.0,0,1,0,0,1,0,13,3,MemphisGrizzlies
JacobGilyard,0,0,0,0,0,0,0,0,3,12,0.0,0.0,0,0,1,0,0,0,17,2,MemphisGrizzlies
VinceWilliamsJr.,0,2,0,0,0,2,0,0,1,10,0.0,0.0,0,2,1,0,0,1,15,0,MemphisGrizzlies
MemphisGrizzlies,113,53,37,61,10,35,9,13,29,265,49.0,0.0,8,45,17,8,10,25,-10,138,MemphisGrizzlies
