PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,40,5,10,16,1,3,17,18,12,37,57.9,94.4,1,4,2,1,3,2,16,50,OklahomaCityThunder
IsaiahJoe,20,1,1,2,5,7,3,3,0,27,66.7,100.0,0,1,0,0,1,0,11,19,OklahomaCityThunder
ChetHolmgren,18,13,5,8,0,3,8,11,2,32,45.5,72.7,5,8,2,1,4,3,18,27,OklahomaCityThunder
KenrichWilliams,13,5,2,3,3,3,0,2,2,23,83.3,0.0,1,4,0,0,0,0,10,17,OklahomaCityThunder
JoshGiddey,10,6,3,10,1,3,1,2,2,29,30.8,50.0,1,5,2,2,0,1,3,8,OklahomaCityThunder
AaronWiggins,6,4,2,2,0,0,2,2,1,11,100.0,100.0,0,4,1,0,0,1,2,10,OklahomaCityThunder
CasonWallace,5,3,1,1,1,2,0,0,0,24,66.7,0.0,1,2,1,0,1,1,-2,7,OklahomaCityThunder
LuguentzDort,2,2,1,2,0,4,0,0,2,27,16.7,0.0,0,2,2,0,2,6,9,1,OklahomaCityThunder
VasilijeMicic,2,0,1,1,0,3,0,0,2,11,25.0,0.0,0,0,2,0,0,0,-2,-1,OklahomaCityThunder
LindyWaters,0,2,0,0,0,0,0,0,1,5,0.0,0.0,1,1,0,0,1,0,7,4,OklahomaCityThunder
JaylinWilliams,0,4,0,1,0,1,0,0,0,15,0.0,0.0,1,3,0,0,0,3,-2,2,OklahomaCityThunder
OklahomaCityThunder,116,47,26,46,11,29,31,38,24,240,49.3,0.0,12,35,12,4,12,17,70,144,OklahomaCityThunder
DeMarDerozan,25,2,6,15,0,2,13,13,6,37,35.3,100.0,1,1,1,2,1,3,-16,24,ChicagoBulls
CobyWhite,23,1,1,5,7,12,0,0,5,37,47.1,0.0,0,1,3,1,0,5,-5,18,ChicagoBulls
NikolaVucevic,16,12,4,8,2,5,2,2,3,37,46.2,100.0,5,7,1,2,0,4,-3,25,ChicagoBulls
AlexCaruso,12,6,3,6,2,6,0,0,1,27,41.7,0.0,1,5,0,1,0,1,-5,13,ChicagoBulls
AyoDosunmu,11,2,1,2,3,5,0,0,2,21,57.1,0.0,0,2,2,1,1,4,-9,12,ChicagoBulls
PatrickWilliams,10,7,1,4,2,5,2,2,2,37,33.3,100.0,3,4,2,0,0,1,-3,11,ChicagoBulls
JevonCarter,3,0,0,1,1,6,0,0,2,19,14.3,0.0,0,0,0,0,0,2,-3,-1,ChicagoBulls
AndreDrummond,2,5,1,3,0,0,0,0,1,11,33.3,0.0,1,4,0,0,0,2,-11,6,ChicagoBulls
TorreyCraig,0,3,0,0,0,3,0,0,0,15,0.0,0.0,0,3,1,0,0,4,-15,-1,ChicagoBulls
ChicagoBulls,102,40,17,44,17,44,17,17,22,240,38.6,0.0,13,27,13,7,2,26,-70,107,ChicagoBulls
