PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
OguguaAnunoby,23,4,5,6,4,6,1,2,0,29,75.0,50.0,2,2,1,1,1,3,26,24,NewYorkKnicks
JuliusRandle,20,7,5,13,2,4,4,4,8,32,41.2,100.0,0,7,2,0,1,1,31,24,NewYorkKnicks
QuentinGrimes,17,4,1,2,4,9,3,3,1,21,45.5,100.0,0,4,2,3,0,1,9,17,NewYorkKnicks
MilesMcBride,16,2,2,6,4,7,0,0,0,22,46.2,0.0,1,1,2,1,0,1,-1,10,NewYorkKnicks
DonteDiVincenzo,13,4,1,1,3,8,2,2,2,19,44.4,100.0,0,4,0,1,0,2,14,15,NewYorkKnicks
JalenBrunson,12,3,2,4,1,7,5,6,7,26,27.3,83.3,1,2,0,0,0,0,29,13,NewYorkKnicks
IsaiahHartenstein,5,14,1,1,0,0,3,4,3,28,100.0,75.0,5,9,2,3,1,3,31,23,NewYorkKnicks
JoshHart,2,7,1,2,0,2,0,0,4,26,25.0,0.0,1,6,3,0,0,3,12,7,NewYorkKnicks
PreciousAchiuwa,2,9,1,6,0,3,0,0,1,20,11.1,0.0,5,4,1,1,1,0,-3,5,NewYorkKnicks
MalachiFlynn,2,0,0,0,0,1,2,2,0,4,0.0,100.0,0,0,0,0,0,0,-5,1,NewYorkKnicks
JerichoSims,0,1,0,0,0,0,0,0,0,7,0.0,0.0,0,1,1,1,0,0,-4,1,NewYorkKnicks
RyanArcidiacono,0,0,0,0,0,1,0,0,0,6,0.0,0.0,0,0,0,0,0,2,1,-1,NewYorkKnicks
NewYorkKnicks,112,55,19,41,18,48,20,23,26,240,41.6,0.0,15,40,14,11,4,16,140,139,NewYorkKnicks
JeramiGrant,21,2,7,12,1,4,4,6,0,28,50.0,66.7,0,2,1,0,0,2,-31,12,PortlandTrailBlazers
AnferneeSimons,12,4,2,7,2,7,2,2,3,27,28.6,100.0,0,4,3,0,0,2,-26,6,PortlandTrailBlazers
ShaedonSharpe,9,4,4,6,0,2,1,1,4,22,50.0,100.0,1,3,1,2,1,1,-23,15,PortlandTrailBlazers
KrisMurray,9,3,3,7,0,3,3,3,1,16,30.0,100.0,2,1,1,1,0,0,6,6,PortlandTrailBlazers
ScootHenderson,8,3,2,5,1,3,1,2,4,25,37.5,50.0,0,3,3,1,0,2,-26,7,PortlandTrailBlazers
DuopReath,7,6,2,3,1,3,0,0,0,21,50.0,0.0,1,5,0,0,0,2,-20,10,PortlandTrailBlazers
ToumaniCamara,5,6,1,1,1,3,0,0,2,26,50.0,0.0,3,3,2,1,2,3,-3,12,PortlandTrailBlazers
IbouBadji,4,7,2,5,0,0,0,2,3,27,40.0,0.0,3,4,1,2,2,2,-8,12,PortlandTrailBlazers
RayanRupert,4,5,2,4,0,1,0,0,1,12,40.0,0.0,1,4,1,0,0,0,8,6,PortlandTrailBlazers
JustinMinaya,3,1,1,2,0,2,1,2,1,12,25.0,50.0,1,0,1,0,1,1,8,1,PortlandTrailBlazers
MalcolmBrogdon,2,1,1,5,0,0,0,0,0,13,20.0,0.0,0,1,1,0,0,2,-13,-2,PortlandTrailBlazers
MatisseThybulle,0,1,0,0,0,1,0,0,0,12,0.0,0.0,0,1,0,1,1,0,-12,2,PortlandTrailBlazers
PortlandTrailBlazers,84,43,27,57,6,29,12,18,19,240,38.4,0.0,12,31,15,8,7,17,-140,87,PortlandTrailBlazers
