PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CamThomas,36,3,11,16,2,5,8,11,2,25,52.9,100.0,0,3,1,1,0,0,5,30,BrooklynNets
MikalBridges,20,6,6,10,0,2,8,9,4,35,52.4,100.0,2,4,3,3,0,4,-3,23,BrooklynNets
CameronJohnson,12,5,4,6,1,4,1,2,3,26,60.0,80.0,2,3,2,2,0,1,-1,14,BrooklynNets
DennisSmith,10,4,2,2,2,3,0,0,1,16,50.0,100.0,2,2,1,0,0,1,5,13,BrooklynNets
DorianFinney-Smith,10,5,2,2,2,6,0,1,2,28,23.5,0,1,4,3,0,0,1,7,9,BrooklynNets
NicClaxton,7,7,3,10,0,0,1,1,4,28,45.5,0,4,3,0,0,3,1,-12,14,BrooklynNets
RoyceO&#039;Neale,5,7,1,2,1,4,0,0,2,23,100.0,0,0,7,1,0,0,2,8,9,BrooklynNets
SpencerDinwiddie,5,1,0,0,1,3,2,2,3,24,100.0,0,0,1,1,0,0,2,-10,6,BrooklynNets
BenSimmons,4,10,2,6,0,0,0,0,9,23,0.0,0,1,9,2,0,1,2,-6,18,BrooklynNets
Day&#039;RonSharpe,4,2,2,3,0,0,0,0,0,12,46.8,0,1,1,3,0,2,2,2,4,BrooklynNets
BrooklynNets,113,50,33,57,9,27,20,26,30,240,50.0,0,13,37,17,6,6,16,-5,140,BrooklynNets
MaxStrus,27,12,2,4,7,13,2,2,2,39,52.9,100.0,0,12,0,1,1,4,13,35,ClevelandCavaliers
DonovanMitchell,27,5,7,11,4,10,1,1,6,36,52.4,100.0,2,3,0,4,1,1,7,33,ClevelandCavaliers
IsaacOkoro,18,6,4,6,2,4,4,5,4,32,60.0,80.0,3,3,2,2,1,5,5,24,ClevelandCavaliers
DariusGarland,15,2,5,7,1,5,2,2,5,32,50.0,100.0,1,1,6,2,0,2,6,12,ClevelandCavaliers
CarisLeVert,11,3,1,9,3,8,0,0,5,31,23.5,0,0,3,0,1,1,1,-6,8,ClevelandCavaliers
EvanMobley,10,6,5,11,0,0,0,0,1,34,45.5,0,1,5,0,0,2,3,3,13,ClevelandCavaliers
DamianJones,4,0,2,2,0,0,0,0,2,11,100.0,0,0,0,2,0,0,3,-7,4,ClevelandCavaliers
TyJerome,2,0,1,1,0,0,0,0,0,6,100.0,0,0,0,0,0,0,1,-7,2,ClevelandCavaliers
GeorgesNiang,0,4,0,0,0,3,0,0,0,20,0.0,0,2,2,0,0,0,3,-9,1,ClevelandCavaliers
ClevelandCavaliers,114,38,27,51,17,43,9,10,25,240,46.8,0,9,29,10,10,6,23,5,132,ClevelandCavaliers
