PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,20,9,8,14,0,2,4,4,7,34,50.0,100.0,3,6,2,1,0,3,-25,27,Philadelphia76ers
TyreseMaxey,20,3,3,8,3,7,5,5,4,39,40.0,100.0,0,3,2,0,0,3,9,16,Philadelphia76ers
TobiasHarris,16,7,5,10,1,2,3,3,3,38,50.0,100.0,0,7,1,0,0,0,-1,19,Philadelphia76ers
De&#039;AnthonyMelton,16,7,0,4,5,6,1,2,1,34,50.0,50.0,1,6,0,0,0,3,-9,18,Philadelphia76ers
RobertCovington,16,6,6,8,0,5,4,4,0,37,46.2,100.0,3,3,0,2,0,1,-10,17,Philadelphia76ers
PaulReed,10,6,3,4,1,1,1,2,2,14,80.0,50.0,3,3,1,0,1,1,15,16,Philadelphia76ers
JadenSpringer,9,2,3,4,1,1,0,0,0,20,80.0,0.0,0,2,2,2,0,2,20,10,Philadelphia76ers
DanuelHouse,0,0,0,0,0,1,0,0,0,3,0.0,0.0,0,0,0,0,0,0,-8,-1,Philadelphia76ers
FurkanKorkmaz,0,0,0,0,0,1,0,0,0,3,0.0,0.0,0,0,0,0,0,0,-8,-1,Philadelphia76ers
PatrickBeverley,0,1,0,2,0,2,0,2,1,10,0.0,0.0,0,1,0,0,0,1,-17,-4,Philadelphia76ers
MarcusMorris,0,0,0,1,0,2,0,0,0,8,0.0,0.0,0,0,1,0,0,0,-16,-4,Philadelphia76ers
Philadelphia76ers,107,41,28,55,11,30,18,22,18,240,45.9,0.0,10,31,9,5,1,14,-50,113,Philadelphia76ers
JaysonTatum,29,8,6,13,4,10,5,6,6,39,43.5,83.3,2,6,3,2,0,1,2,28,BostonCeltics
DerrickWhite,27,3,3,4,4,8,9,10,5,36,58.3,90.0,0,3,2,1,0,3,3,28,BostonCeltics
JrueHoliday,18,10,6,9,2,9,0,1,3,35,44.4,0.0,2,8,1,1,2,0,16,22,BostonCeltics
AlHorford,14,8,1,1,4,8,0,0,3,29,55.6,0.0,1,7,0,0,5,2,14,26,BostonCeltics
LukeKornet,9,6,4,4,0,0,1,2,1,19,100.0,50.0,3,3,2,1,0,2,-4,14,BostonCeltics
SamHauser,8,2,1,1,2,8,0,0,2,35,33.3,0.0,1,1,0,0,1,2,4,7,BostonCeltics
PaytonPritchard,5,2,1,2,1,3,0,0,3,23,40.0,0.0,1,1,0,0,0,0,7,7,BostonCeltics
SviatoslavMykhailiuk,5,1,1,1,1,3,0,0,0,15,50.0,0.0,1,0,1,1,0,3,0,4,BostonCeltics
DalanoBanton,2,5,1,3,0,1,0,0,0,8,25.0,0.0,1,4,0,1,0,2,8,5,BostonCeltics
BostonCeltics,117,45,24,38,18,50,15,19,23,240,47.7,0.0,12,33,9,7,8,15,50,141,BostonCeltics
