PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaoloBanchero,25,5,8,17,2,3,3,3,3,32,50.0,100.0,1,4,3,0,1,2,14,21,OrlandoMagic
JalenSuggs,18,3,4,6,2,4,4,4,4,21,60.0,100.0,1,2,2,2,0,3,5,21,OrlandoMagic
FranzWagner,17,4,7,14,1,4,0,1,2,31,44.4,0.0,2,2,0,3,0,2,17,15,OrlandoMagic
ColeAnthony,15,5,3,6,2,4,3,3,10,29,50.0,100.0,2,3,2,0,0,3,8,23,OrlandoMagic
MoritzWagner,10,4,5,9,0,0,0,0,2,15,55.6,0.0,2,2,1,1,0,0,8,12,OrlandoMagic
GaryHarris,10,1,2,2,2,5,0,0,1,23,57.1,0.0,0,1,0,1,0,3,18,10,OrlandoMagic
JonathanIsaac,9,3,4,4,0,2,1,2,0,12,66.7,50.0,1,2,2,1,2,0,9,10,OrlandoMagic
JoeIngles,6,2,1,1,1,2,1,1,1,13,66.7,100.0,1,1,1,0,0,2,6,7,OrlandoMagic
ChumaOkeke,6,0,0,0,2,3,0,0,0,4,66.7,0.0,0,0,0,0,0,0,-4,5,OrlandoMagic
GogaBitadze,5,7,2,6,0,0,1,4,6,31,33.3,25.0,3,4,1,2,5,1,9,17,OrlandoMagic
AnthonyBlack,5,5,2,4,0,3,1,2,1,23,28.6,50.0,2,3,0,1,0,3,7,6,OrlandoMagic
CalebHoustan,0,1,0,0,0,1,0,0,1,4,0.0,0.0,0,1,0,1,0,0,-4,2,OrlandoMagic
AdmiralSchofield,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,2,0,OrlandoMagic
OrlandoMagic,126,42,38,69,12,31,14,20,31,240,50.0,0.0,17,25,13,12,8,19,95,149,OrlandoMagic
DennisSchroder,24,1,4,9,4,4,4,4,1,27,61.5,100.0,0,1,2,0,0,2,-11,19,TorontoRaptors
PascalSiakam,16,2,5,8,0,2,6,8,8,30,50.0,75.0,0,2,2,1,0,1,-7,18,TorontoRaptors
ScottieBarnes,14,8,4,7,1,4,3,4,4,30,45.5,75.0,0,8,5,3,0,1,-22,17,TorontoRaptors
OguguaAnunoby,11,1,1,3,3,5,0,0,4,30,50.0,0.0,0,1,4,0,3,0,-15,11,TorontoRaptors
JakobPoeltl,10,10,5,7,0,0,0,0,1,23,71.4,0.0,1,9,4,0,1,6,-13,16,TorontoRaptors
MalachiFlynn,6,3,1,2,1,2,1,2,1,19,50.0,50.0,0,3,1,1,1,1,-14,8,TorontoRaptors
PreciousAchiuwa,5,6,2,3,0,1,1,2,4,15,50.0,50.0,2,4,3,1,0,3,-9,10,TorontoRaptors
OttoPorter,5,2,1,1,1,1,0,0,0,5,100.0,0.0,1,1,1,0,0,1,4,6,TorontoRaptors
JalenMcDaniels,5,1,0,0,1,1,2,2,1,7,100.0,100.0,1,0,1,0,0,1,5,6,TorontoRaptors
GradeyDick,3,2,0,1,1,3,0,0,2,12,25.0,0.0,0,2,0,0,0,0,-2,4,TorontoRaptors
ChrisBoucher,3,2,0,1,1,3,0,0,0,18,25.0,0.0,0,2,0,0,1,3,-12,3,TorontoRaptors
GaryTrentJr.,3,0,0,4,1,2,0,0,1,21,16.7,0.0,0,0,0,0,0,1,-3,-1,TorontoRaptors
GarrettTemple,2,0,1,1,0,0,0,0,2,4,100.0,0.0,0,0,0,0,0,0,4,4,TorontoRaptors
TorontoRaptors,107,43,24,47,14,28,17,22,29,240,50.7,0.0,9,34,23,6,6,20,-95,121,TorontoRaptors
