PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KevinDurant,38,9,9,21,4,6,8,10,5,39,48.1,80.0,1,8,4,0,0,4,8,32,PhoenixSuns
BradleyBeal,24,4,7,13,2,4,4,6,2,32,52.9,66.7,2,2,2,2,0,4,-14,20,PhoenixSuns
JusufNurkic,14,9,2,5,2,3,4,7,7,33,50.0,57.1,3,6,2,1,0,3,5,22,PhoenixSuns
EricGordon,13,2,2,5,3,4,0,0,2,28,55.6,0.0,1,1,1,3,0,0,3,15,PhoenixSuns
KeitaBates-Diop,11,5,3,5,1,6,2,2,0,30,36.4,100.0,2,3,0,2,0,0,-6,11,PhoenixSuns
GraysonAllen,9,9,3,4,1,4,0,0,4,32,50.0,0.0,2,7,2,1,0,6,-5,17,PhoenixSuns
JordanGoodwin,3,2,0,0,1,3,0,0,0,7,33.3,0.0,1,1,0,0,0,0,-13,3,PhoenixSuns
YutaWatanabe,3,1,0,1,1,3,0,0,0,14,25.0,0.0,1,0,0,0,0,5,6,1,PhoenixSuns
JoshOkogie,2,6,0,0,0,4,2,2,1,13,0.0,100.0,2,4,0,0,0,0,7,5,PhoenixSuns
DrewEubanks,2,5,1,3,0,0,0,0,1,14,33.3,0.0,2,3,2,0,1,2,-6,5,PhoenixSuns
PhoenixSuns,119,53,27,57,15,37,20,27,22,240,44.7,0.0,18,35,13,9,1,24,-15,131,PhoenixSuns
LeBronJames,32,11,8,13,3,4,7,11,6,36,64.7,63.6,1,10,4,1,1,1,2,37,LosAngelesLakers
D&#039;AngeloRussell,19,3,6,9,0,3,7,9,9,29,50.0,77.8,0,3,1,0,1,4,1,23,LosAngelesLakers
AnthonyDavis,18,11,5,14,0,0,8,8,4,36,35.7,100.0,4,7,1,0,1,3,-5,24,LosAngelesLakers
CameronReddish,17,3,0,2,5,8,2,2,0,28,50.0,100.0,1,2,0,3,0,3,7,18,LosAngelesLakers
AustinReaves,15,1,4,7,2,4,1,1,7,35,54.5,100.0,0,1,2,1,0,1,-2,17,LosAngelesLakers
RuiHachimura,7,3,2,3,1,3,0,1,1,20,50.0,0.0,0,3,1,4,1,3,6,11,LosAngelesLakers
TaureanPrince,7,1,3,4,0,4,1,2,0,33,37.5,50.0,0,1,0,0,2,4,3,4,LosAngelesLakers
ChristianWood,5,9,1,4,1,1,0,0,0,18,40.0,0.0,3,6,1,0,1,0,8,11,LosAngelesLakers
JaxsonHayes,2,1,1,1,0,0,0,0,0,5,100.0,0.0,0,1,1,0,0,1,-5,2,LosAngelesLakers
LosAngelesLakers,122,47,30,57,12,27,26,34,27,240,50.0,0.0,11,36,12,9,7,20,15,147,LosAngelesLakers
