PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,37,6,13,16,0,4,11,12,7,36,13-16,0-4,65.0,11-12,91.7,2,4,0,3,1,2,14,46,OklahomaCityThunder
JalenWilliams,16,6,6,13,1,3,1,1,2,33,6-13,1-3,43.8,1-1,100.0,2,4,2,0,0,1,12,13,OklahomaCityThunder
ChetHolmgren,15,8,6,9,1,5,0,0,3,32,6-9,1-5,50.0,0-0,0,2,6,2,1,2,0,5,20,OklahomaCityThunder
JoshGiddey,12,8,3,7,1,5,3,4,4,27,3-7,1-5,33.3,3-4,75.0,1,7,0,1,0,1,15,16,OklahomaCityThunder
LuguentzDort,12,3,2,3,2,5,2,2,2,32,2-3,2-5,50.0,2-2,100.0,1,2,1,1,1,5,0,14,OklahomaCityThunder
IsaiahJoe,9,2,3,4,1,4,0,0,1,16,3-4,1-4,50.0,0-0,0,0,2,1,0,0,1,1,7,OklahomaCityThunder
VasilijeMicic,7,2,2,3,1,2,0,0,1,11,2-3,1-2,60.0,0-0,0,0,2,1,1,0,1,0,8,OklahomaCityThunder
KenrichWilliams,3,5,0,0,1,2,0,0,2,16,0-0,1-2,50.0,0-0,0,0,5,0,0,0,1,7,9,OklahomaCityThunder
CasonWallace,1,3,0,1,0,4,1,2,0,20,0-1,0-4,0.0,1-2,50.0,2,1,0,0,0,3,5,-2,OklahomaCityThunder
AaronWiggins,0,1,0,2,0,0,0,0,1,7,0-2,0-0,0.0,0-0,0,1,0,0,2,0,4,-2,2,OklahomaCityThunder
OusmaneDieng,0,2,0,0,0,2,0,0,0,9,0-0,0-2,0.0,0-0,0,1,1,1,0,0,0,3,-1,OklahomaCityThunder
OklahomaCityThunder,112,53,35,58,8,36,18,21,23,240,35-58,8-36,45.7,18-21,0,18,35,8,9,4,19,60,132,OklahomaCityThunder
PaoloBanchero,20,9,8,15,0,4,4,7,8,36,8-15,0-4,42.1,4-7,57.1,2,7,2,0,2,4,-7,23,OrlandoMagic
ColeAnthony,14,4,5,8,1,3,1,2,2,25,5-8,1-3,54.5,1-2,50.0,2,2,2,1,1,4,-6,14,OrlandoMagic
CalebHoustan,14,3,1,1,4,12,0,0,2,35,1-1,4-12,38.5,0-0,0,1,2,3,1,0,0,-13,9,OrlandoMagic
AnthonyBlack,13,4,5,7,0,1,3,6,1,33,5-7,0-1,62.5,3-6,50.0,0,4,1,1,1,2,-9,13,OrlandoMagic
JalenSuggs,9,4,3,5,1,3,0,0,0,20,3-5,1-3,50.0,0-0,0,1,3,1,0,0,3,-9,8,OrlandoMagic
GogaBitadze,8,9,4,5,0,1,0,0,2,22,4-5,0-1,66.7,0-0,0,2,7,1,2,0,2,-1,18,OrlandoMagic
TrevelinQueen,7,4,3,3,0,3,1,1,1,17,3-3,0-3,50.0,1-1,100.0,0,4,2,0,3,2,4,10,OrlandoMagic
JonathanIsaac,6,5,0,1,0,0,6,8,1,15,0-1,0-0,0.0,6-8,75.0,2,3,0,0,0,3,-7,9,OrlandoMagic
ChumaOkeke,5,4,1,1,1,5,0,0,2,19,1-1,1-5,33.3,0-0,0,1,3,0,0,0,1,-3,7,OrlandoMagic
MoritzWagner,4,4,2,3,0,3,0,0,2,18,2-3,0-3,33.3,0-0,0,0,4,3,0,1,1,-9,4,OrlandoMagic
OrlandoMagic,100,55,32,49,7,35,15,24,21,240,32-49,7-35,46.4,15-24,0,12,43,16,5,8,22,-60,115,OrlandoMagic
